1. 私 (わたし) | Anh ấy | Cô ấy | Tôi | Bạn
点きます (つきます) | Hỏng | Tắt | Sáng/Được bật | Cũ
並びます (ならびます) | Đứng | Ngồi | Xếp hàng | Chạy
並べます (ならべます) | Vứt bỏ | Lấy ra | Sắp xếp | Tìm kiếm
入れます (いれます) | Đóng lại | Bỏ đi | Cho vào | Lấy ra
出します (だします) | Cất đi | Nhận vào | Lấy ra/Nộp | Mở ra
ずっと (ずっと) | Thỉnh thoảng | Một chút | Suốt/Hơn nhiều | Vừa mới
もっと (もっと) | Đủ rồi | Không cần | Hơn nữa | Ít hơn
ゆっくり (ゆっくり) | Ngay lập tức | Nhanh | Thong thả/Chậm | Vội vã
すぐに (すぐに) | Một lát sau | Ngày mai | Ngay lập tức | Sau này
早く (はやく) | Muộn | Thong thả | Nhanh/Sớm | Chậm
遅く (おそく) | Ngay | Sớm | Chậm/Muộn | Nhanh
大体 (だいたい) | Không chút nào | Chính xác | Đại khái/Khoảng | Hoàn toàn
たくさん (たくさん) | Không có | Một chút | Nhiều | Ít
少し (すこし) | Toàn bộ | Rất nhiều | Một ít/Một chút | Không có gì
全然 (ぜんぜん) | Thỉnh thoảng | Thường xuyên | Hoàn toàn không | Rất nhiều
おじいさん (おじいさん) | Bố | Mẹ | Ông (nói chung) | Bà
おばあさん (おばあさん) | Cô | Ông | Bà (nói chung) | Chú
お父さん (おとうさん) | Bố mình | Ông mình | Bố (gọi người khác) | Anh mình
お母さん (おかあさん) | Chị mình | Mẹ mình | Mẹ (gọi người khác) | Bà mình
お兄さん (おにいさん) | Em mình | Chú mình | Anh trai (người khác) | Anh mình
お姉さん (おねえさん) | Chị mình | Cô mình | Chị gái (người khác) | Em mình
弟 (おとうと) | Chị gái | Anh trai | Em trai (mình) | Em gái
妹 (いもうと) | Chị gái | Em trai | Em gái (mình) | Anh trai
兄弟 (きょうだい) | Bố mẹ | Vợ chồng | Anh chị em | Con cái
両親 (りょうしん) | Anh em | Ông bà | Bố mẹ | Cô chú
奥さん (おくさん) | Chồng mình | Chồng người khác | Vợ (người khác) | Vợ mình
主人 (しゅじん) | Trưởng phòng | Vợ mình | Chồng (mình) | Giám đốc
家内 (かない) | Bạn mình | Con mình | Vợ (mình) | Mẹ mình
赤ちゃん (あかちゃん) | Người lớn | Học sinh | Em bé | Người già
建物 (たてもの) | Công viên | Con đường | Tòa nhà | Cây cối
アパート (あぱーと) | Khách sạn | Văn phòng | Căn hộ | Nhà riêng
エレベーター (えれべーたー) | Cửa sổ | Cầu thang | Thang máy | Lối ra
エスカレーター (えすかれーたー) | Thang máy | Cửa tự động | Thang cuốn | Hành lang
台所 (だいどころ) | Phòng khách | Phòng tắm | Nhà bếp | Nhà vệ sinh
お手洗い (おてあらい) | Lối vào | Nhà kho | Nhà vệ sinh | Phòng ngủ
玄関 (げんかん) | Phòng ăn | Ban công | Lối vào/Sảnh | Sân thượng
庭 (にわ) | Căn phòng | Mái nhà | Cái sân/Vườn | Tầng hầm
壁 (かべ) | Trần nhà | Cửa ra vào | Bức tường | Sàn nhà
天井 (てんじょう) | Cửa | Sàn | Trần nhà | Tường
石 (いし) | Ngọn núi | Dòng sông | Hòn đá | Bầu trời
池 (いけ) | Thác | Suối | Cái ao | Biển
湖 (みずうみ) | Đại dương | Ao | Hồ nước | Sông
星 (ほし) | Mặt trời | Mặt trăng | Ngôi sao | Trái đất
太陽 (たいよう) | Đám mây | Gió | Mặt trời | Ngôi sao
空気 (くうき) | Lửa | Đất | Không khí | Nước
地図 (ちず) | Cuốn sách | Bức tranh | Bản đồ | Tờ báo
切手 (きって) | Danh thiếp | Phong bì | Tem | Thư
葉書 (はがき) | Vở | Tạp chí | Bưu thiếp | Thư
荷物 (にもつ) | Quà tặng | Thư | Hành lý | Đồ ăn
道具 (どうぐ) | Đồ ăn | Quần áo | Dụng cụ | Đồ chơi
掃除機 (そうじき) | Tivi | Máy giặt | Máy hút bụi | Tủ lạnh
洗濯機 (せんたくき) | Điều hòa | Máy sấy | Máy giặt | Lò nướng
布団 (ふとん) | Cái gối | Cái giường | Cái chăn/đệm | Cái chiếu
石鹸 (せっけん) | Bàn chải | Kem đánh răng | Xà phòng | Khăn mặt
鏡 (かがみ) | Cái bàn | Cái ghế | Cái gương | Cái lược
病気 (びょうき) | Thuốc | Nghỉ ngơi | Bệnh tật | Khỏe mạnh
薬 (くすり) | Đồ uống | Kẹo | Thuốc | Thức ăn
風邪 (かぜ) | Nhức đầu | Đau bụng | Cảm cúm | Gãy tay
熱 (ねつ) | Lạnh | Ngứa | Sốt | Đau
痛い (いたい) | Thích | Vui | Đau | Buồn
体 (からだ) | Đầu | Chân | Cơ thể | Tay
肩 (かた) | Cổ | Lưng | Vai | Ngực
背中 (せなか) | Ngực | Bụng | Lưng | Vai
お腹 (おなか) | Tay | Đầu | Bụng | Chân
指 (ゆび) | Đầu gối | Móng tay | Ngón tay | Khuỷu tay
脱ぎます (ぬぎます) | Phơi | Giặt | Cởi (đồ) | Mặc
履きます (はきます) | Thắt | Đội | Đi (giày/tất) | Đeo
浴びます (あびます) | Ăn | Ngủ | Tắm | Rửa
洗います (あらいます) | Viết | Cắt | Rửa/Giặt | Vẽ
拭きます (ふきます) | Rửa | Đổ | Lau chùi | Quét
置きます (おきます) | Lấy | Vứt | Đặt/Để | Tìm
運びます (はこびます) | Mua bán | Dừng lại | Vận chuyển | Chờ đợi
勤めます (つとめます) | Đi chơi | Học tập | Làm việc | Nghỉ ngơi
働きます (はたらきます) | Đi dạo | Chạy bộ | Làm việc | Nghỉ ngơi
休みます (やすみます) | Đi bộ | Làm việc | Nghỉ ngơi | Học tập
遊びます (あそびます) | Làm | Học | Chơi | Ngủ
呼びます (よびます) | Nghe | Nói | Gọi | Nhìn
歌います (うたいまず) | Vẽ | Nhảy | Hát | Viết
踊ります (おどります) | Bơi | Hát | Nhảy múa | Chạy
弾きます (ひきます) | Hát | Đánh | Chơi (đàn) | Thổi
吹きます (ふきます) | Rơi | Cháy | Thổi | Ngừng
貸します (かします) | Lấy | Mượn | Cho mượn | Trả
借ります (かりる) | Trả | Thuê | Mượn | Cho mượn
返します (かえします) | Giữ lại | Lấy đi | Trả lại | Vứt đi
渡します (わたします) | Nhận lấy | Cất đi | Trao cho | Làm mất
大切 (たいせつ) | Rẻ tiền | Xấu xí | Quan trọng | Vô dụng
丈夫 (じょうぶ) | Hỏng | Cũ | Bền/Chắc | Yếu
危険 (きけん) | Sạch sẽ | An toàn | Nguy hiểm | Vui vẻ
残念 (ざんねn) | Hạnh phúc | Vui vẻ | Đáng tiếc | May mắn
心配 (しんぱい) | Tự tin | Vui mừng | Lo lắng | Yên tâm
無理 (むり) | Bình thường | Dễ dàng | Quá sức | Đơn giản
下手 (へた) | Giỏi | Nhanh | Kém/Dở | Chậm
上手 (じょうず) | Nhanh | Kém | Giỏi | Chậm
得意 (とくい) | Ghét | Sợ | Đắc ý/Mạnh | Yếu
苦手 (にがて) | Thích | Muốn | Kém/Yếu | Giỏi
多分 (たぶん) | Chắc chắn | Luôn luôn | Có lẽ | Không bao giờ
きっと (きっと) | Không biết | Có thể | Chắc chắn | Hình như
本当に (ほんとうに) | Có lẽ | Giả vờ | Thật sự | Không hẳn
大体 (だいたい) | Luôn luôn | Hoàn toàn | Đại khái | Chính xác
全然 (ぜんぜん) | Thường xuyên | Thỉnh thoảng | Hoàn toàn không | Rất nhiều
時々 (ときどき) | Luôn luôn | Không bao giờ | Thỉnh thoảng | Thường xuyên
毎日 (まいにち) | Mỗi tuần | Mỗi năm | Mỗi ngày | Mỗi tháng
毎週 (まいしゅう) | Mỗi tháng | Mỗi ngày | Mỗi tuần | Mỗi giờ
毎月 (まいつき) | Mỗi năm | Mỗi ngày | Mỗi tháng | Mỗi tuần
毎年 (まいとし/まいねん) | Mỗi ngày | Mỗi tuần | Mỗi năm | Mỗi tháng
ずっと (ずっと) | Một chút | Thỉnh thoảng | Suốt/Mãi | Vừa mới
初めて (はじめて) | Luôn luôn | Lần cuối cùng | Lần đầu tiên | Thỉnh thoảng
また (また) | Luôn luôn | Chưa | Lại/Hẹn gặp lại | Đã xong
もう一度 (もういちど) | Bắt đầu | Kết thúc | Một lần nữa | Lần đầu
ゆっくり (ゆっくり) | Nhanh | Ngay lập tức | Thong thả | Vội vã
すぐに (すぐに) | Một lát | Ngày mai | Ngay lập tức | Sau này
一緒に (いっしょに) | Một mình | Khác nhau | Cùng nhau | Riêng lẻ
別々に (べつべつに) | Cùng nhau | Giống nhau | Riêng biệt | Mọi người
大変 (たいへん) | Dễ dàng | Rảnh rỗi | Vất vả | Vui vẻ
面白い (おもしろい) | Buồn chán | Đáng sợ | Thú vị | Khó
