食べる (たべる) | Uống | Ngủ | Đi | Ăn
合格 (ごうかく) | Trượt | Chờ đợi | Hủy bỏ | Đỗ/Đạt
不合格 (ふごうかく) | Đỗ | Thành công | Xuất sắc | Không đạt/Trượt
再送 (さいそう) | Nhận hàng | Hủy hàng | Lưu kho | Gửi lại
返却 (へんきゃく) | Mua về | Cho mượn | Vứt đi | Trả lại
回収 (かいしゅう) | Phát ra | Bán đi | Tặng quà | Thu hồi
破棄 (はき) | Giữ lại | Sử dụng | Sửa chữa | Hủy bỏ/Vứt đi
流出 (りゅうしゅつ) | Giữ lại | Thu nhận | Đóng gói | Rò rỉ/Lọt ra ngoài
再発防止 (さいはつぼうし) | Để nó xảy ra | Khen thưởng | Bỏ qua | Phòng ngừa tái diễn
未然防止 (みぜんぼうし) | Sửa chữa sau | Chờ đợi | Theo dõi | Phòng ngừa trước
安全点検 (あんぜんてんけん) | Kiểm tra máy | Kiểm tra lương | Kiểm tra hàng | Kiểm tra an toàn
危険予知 (きけんよち) | Gặp nguy hiểm | Bỏ qua nguy hiểm | Tạo ra nguy hiểm | Dự đoán nguy hiểm
防護策 (ぼうごさく) | Biện pháp tấn công | Biện pháp hủy hoại | Biện pháp trốn tránh | Biện pháp bảo vệ
非常口 (ひじょうぐち) | Cửa chính | Cửa sổ | Nhà kho | Lối thoát hiểm
消火器 (しょうかき) | Vòi nước | Xẻng | Thang | Bình chữa cháy
避難 (ひなん) | Tập trung | Làm việc | Ngủ | Lánh nạn
負傷 (ふしょう) | Khỏe mạnh | Vui vẻ | Giàu có | Bị thương
応急処置 (おうきゅうしょち) | Phẫu thuật | Khám bệnh | Nhập viện | Sơ cứu tạm thời
労災 (ろうさい) | Thưởng tết | Lương tháng | Nghỉ lễ | Tai nạn lao động
安全靴 (あんぜんぐつ) | Dép lê | Giày tây | Giày vải | Giày bảo hộ
保護帽 (ほごぼう) | Mũ len | Mũ lưỡi trai | Mũ rộng vành | Mũ bảo hộ
安全帯 (あんぜんたい) | Thắt lưng | Dây thừng | Dây xích | Dây an toàn
感電 (かんでん) | Bỏng | Ngã | Đau đầu | Điện giật
酸欠 (さんけつ) | Thừa oxy | Đủ oxy | Không có oxy | Thiếu oxy
中毒 (ちゅうどく) | Khỏe mạnh | Say rượu | Buồn ngủ | Ngộ độc
爆発 (ばくはつ) | Im lặng | Xịt | Đóng băng | Phát nổ
火災 (かさい) | Lũ lụt | Động đất | Sóng thần | Hỏa hoạn
停電 (ていでん) | Có điện | Cháy bóng đèn | Hỏng máy | Mất điện
断水 (だんすい) | Có nước | Rò rỉ nước | Nước bẩn | Mất nước
整理 (せいり) | Sắp xếp | Sạch sẽ | Săn sóc | Sàng lọc
整頓 (せいとん) | Sàng lọc | Săn sóc | Sẵn sàng | Sắp xếp
清掃 (せいそう) | Sàng lọc | Sắp xếp | Săn sóc | Sạch sẽ
清潔 (せいけつ) | Sạch sẽ | Sắp xếp | Sẵn sàng | Săn sóc
荷役 (にやく) | Đóng gói | Kiểm kho | Lắp ráp | Bốc dỡ hàng hóa
積み込み (つみこみ) | Dỡ hàng xuống | Đóng thùng | Ghi nhãn | Xếp hàng lên xe
荷下ろし (におろし) | Xếp hàng lên | Kiểm hàng | Cân hàng | Dỡ hàng xuống
運搬 (うんぱん) | Đứng yên | Sản xuất | Tiêu hủy | Vận chuyển
配送 (はいそう) | Nhập hàng | Trả hàng | Giữ hàng | Phân phối/Giao hàng
直送 (ちょくそう) | Giao gián tiếp | Giao chậm | Hủy giao hàng | Giao hàng trực tiếp
宅配 (たくはい) | Bán tại cửa hàng | Giao tại kho | Tự đến lấy | Giao hàng tận nhà
送料 (そうりょう) | Tiền hàng | Tiền thuế | Tiền thưởng | Cước phí vận chuyển
梱包 (こんぽう) | Mở thùng | Cắt gọt | Sơn màu | Đóng gói
包装 (ほうそう) | Tháo dỡ | Vứt bỏ | Giặt ủi | Bao bì/Đóng gói
緩衝材 (かんしょうざい) | Vật liệu cứng | Keo dán | Dây buộc | Vật liệu đệm/Chống sốc
段ボール (だんぼーる) | Giấy nháp | Sắt vụn | Gỗ tấm | Thùng carton
木枠 (きわく) | Thùng nhựa | Túi vải | Hộp sắt | Khung gỗ
容器 (ようき) | Nội dung | Nắp đậy | Đáy thùng | Đồ chứa/Thùng chứa
重量 (じゅうりょう) | Chiều dài | Thể tích | Diện tích | Trọng lượng
容積 (ようせき) | Cân nặng | Chiều cao | Độ dày | Thể tích
寸法 (すんぽう) | Màu sắc | Độ bền | Giá trị | Kích thước
正味重量 (しょうみじゅうりょう) | Tổng trọng lượng | Trọng lượng bao bì | Sai số trọng lượng | Trọng lượng tịnh
総重量 (そうじゅうりょう) | Trọng lượng tịnh | Trọng lượng hàng lỗi | Trọng lượng mẫu | Tổng trọng lượng
計量器 (けいりょうき) | Thước dây | Nhiệt kế | Đồng hồ | Cái cân
棚卸資産 (たなおろししさん) | Tiền mặt | Nợ phải thu | Chi phí cố định | Tài sản tồn kho
入庫入力 (にゅうこにゅうりょく) | Xuất dữ liệu | Xóa dữ liệu | Sửa dữ liệu | Nhập dữ liệu nhập kho
在庫切れ (ざいこぎれ) | Còn hàng | Hàng lỗi | Hàng giả | Hết hàng
過剰在庫 (かじょうざいこ) | Thiếu hàng | Hàng vừa đủ | Hàng sắp về | Tồn kho quá mức
死蔵品 (しぞうひん) | Hàng bán chạy | Hàng mới về | Hàng khuyến mãi | Hàng tồn kho lâu ngày
整理整頓 (せいりせいとん) | Làm bẩn | Phá hoại | Bày bừa | Sàng lọc sắp xếp
通関 (つうかん) | Xuất bến | Nhập bến | Cấm vận | Thông quan
輸出 (ゆしゅつ) | Nhập khẩu | Tiêu dùng | Sản xuất | Xuất khẩu
輸入 (ゆにゅう) | Xuất khẩu | Đại lý | Cửa hàng | Nhập khẩu
関税 (かんぜい) | Thuế thu nhập | Thuế giá trị gia tăng | Thuế thân | Thuế quan
原産地 (げんさんち) | Nơi tiêu thụ | Nơi lưu kho | Nơi bán lẻ | Nơi xuất xứ
船積み (ふなづみ) | Gửi hàng máy bay | Gửi đường bộ | Gửi bưu điện | Gửi hàng bằng tàu
航空便 (こうくうびん) | Đường biển | Đường sắt | Đường bộ | Đường hàng không
船便 (ふなびん) | Đường hàng không | Chuyển phát nhanh | Đi bộ | Đường biển
貨物 (かもつ) | Hành khách | Tiền bạc | Tài liệu | Hàng hóa/Hàng ký gửi
コンテナ (こんてな) | Xe đạp | Thùng rác | Túi nilon | Công-ten-nơ
荷札 (にふだ) | Hóa đơn | Hợp đồng | Tem bảo hành | Thẻ ghi tên hàng
品番 (ひんばん) | Tên khách hàng | Địa chỉ | Số điện thoại | Mã sản phẩm
型番 (かたばん) | Giá tiền | Ngày tháng | Chữ ký | Mã hiệu/Model
ロット番号 (ろっとばんごう) | Số thứ tự | Số trang | Số tầng | Số lô hàng
有効期限 (ゆうこうきげん) | Ngày sản xuất | Ngày ký | Ngày họp | Hạn sử dụng
製造日 (せいぞうび) | Ngày hết hạn | Ngày nghỉ | Ngày lễ | Ngày sản xuất
出荷案内 (しゅっかあんない) | Lệnh nhập hàng | Hóa đơn thuế | Thư cảm ơn | Thông báo xuất hàng
配送業者 (はいそうぎょうしゃ) | Nhà sản xuất | Khách hàng | Cơ quan thuế | Đơn vị vận chuyển
荷受人 (にうけにん) | Người gửi hàng | Người vận chuyển | Người trung gian | Người nhận hàng
荷送人 (におくりにん) | Người nhận hàng | Người mua | Người xem | Người gửi hàng
追跡番号 (ついせきばんごう) | Số tài khoản | Số chứng minh | Số nhà | Mã vận đơn/Số theo dõi
紛失 (ふんしつ) | Tìm thấy | Mua mới | Sửa chữa | Thất lạc/Mất
破損 (はそん) | Nguyên vẹn | Đẹp đẽ | Mới tinh | Hư hỏng
損害賠償 (そんがいばいしょう) | Thưởng tiền | Miễn thuế | Trả lương | Bồi thường thiệt hại
自動制御 (じどうせいぎょ) | Điều khiển bằng tay | Ngừng hoạt động | Bị hỏng | Điều khiển tự động
手動 (しゅどう) | Tự động | Máy móc | Lập trình | Thủ công/Bằng tay
回路図 (かいろず) | Bản đồ | Ảnh chụp | Hướng dẫn sử dụng | Sơ đồ mạch điện
基板実装 (きばんじっそう) | Đúc nhựa | Hàn sắt | Sơn vỏ | Lắp ráp bảng mạch
短絡 (たんらく) | Cách điện | Nguồn điện | Công tắc | Đoản mạch
絶縁 (ぜつえん) | Dẫn điện | Truyền nhiệt | Ma sát | Cách điện
漏電 (ろうでん) | Nạp điện | Tích điện | Phát điện | Rò rỉ điện
停電 (ていでん) | Có điện | Quá tải | Cháy nổ | Mất điện
過負荷 (かふか) | Nhẹ tải | Không tải | Vừa đủ | Quá tải
電圧 (でんあつ) | Dòng điện | Điện trở | Tần số | Điện áp
電流 (でんりゅう) | Điện áp | Công suất | Nhiệt độ | Dòng điện
抵抗 (ていこう) | Dẫn điện | Công tắc | Bóng đèn | Điện trở
容量 (ようりょう) | Kích thước | Trọng lượng | Độ cao | Dung lượng
端子 (たんし) | Dây dẫn | Nguồn | Vỏ | Đầu nối/Cực
接点 (せってん) | Khoảng cách | Đường thẳng | Hình tròn | Điểm tiếp xúc
感電 (かんでん) | Bỏng nhiệt | Đứt tay | Ngã | Điện giật
放電 (ほうでん) | Sạc điện | Giữ điện | Ngắt điện | Phóng điện
充電 (じゅうでん) | Hết pin | Hỏng máy | Tắt nguồn | Sạc điện
電池 (でんち) | Động cơ | Dây điện | Bóng đèn | Pin/Ắc quy
発電機 (はつでんき) | Động cơ điện | Tủ lạnh | Máy bơm | Máy phát điện
変圧器 (へんあつき) | Biến tần | Công tắc | Cầu chì | Biến áp
整流 (せいりゅう) | Nghịch lưu | Khuếch đại | Giảm áp | Chỉnh lưu
増幅 (ぞうふく) | Thu nhỏ | Cắt bỏ | Giữ nguyên | Khuếch đại
信号 (しんごう) | Tiếng ồn | Hình ảnh | Ánh sáng | Tín hiệu
変換 (へんかん) | Giữ nguyên | Xóa bỏ | Sao chép | Chuyển đổi
同期 (どうき) | Lệch pha | Ngừng lại | Bắt đầu | Đồng bộ
遅延 (ちえん) | Nhanh chóng | Tức thì | Kết thúc | Độ trễ
誤差 (ごさ) | Chính xác | Tuyệt đối | Kết quả | Sai số
精度 (せいど) | Sai lệch | Trọng lượng | Chiều dài | Độ chính xác
感度 (かんど) | Độ bền | Độ cứng | Độ bóng | Độ nhạy
分解能 (ぶんかいのう) | Độ dày | Độ rộng | Độ dài | Độ phân giải
測定器 (そくていき) | Thiết bị cắt | Thiết bị hàn | Thiết bị đóng gói | Thiết bị đo lường
校正 (こうせい) | Sửa lỗi | Viết mới | Hủy bỏ | Hiệu chuẩn
摩耗 (まもう) | Tăng thêm | Làm mới | Sạch sẽ | Hao mòn
腐食 (ふしょく) | Bảo vệ | Sơn phủ | Làm bóng | Ăn mòn
劣化 (れっか) | Cải tiến | Làm mới | Tốt lên | Xuống cấp/Thoái hóa
耐用年数 (たいようねんすう) | Ngày sản xuất | Ngày mua | Giá bán | Tuổi thọ sử dụng
メンテナンス (めんてなんす) | Phá hủy | Sử dụng | Bỏ qua | Bảo trì
故障診断 (こしょうしんだん) | Sửa chữa | Mua máy mới | Vận hành | Chẩn đoán hư hỏng
予備品 (よびひん) | Hàng chính | Phế liệu | Thành phẩm | Phụ tùng dự phòng
消耗品 (しょうもうひん) | Tài sản cố định | Hàng tặng | Hàng lỗi | Vật tư tiêu hao
潤滑剤 (じゅんかつざい) | Chất tẩy rửa | Chất gây cháy | Nước | Chất bôi trơn
防錆 (ぼうせい) | Làm rỉ | Sơn màu | Cắt gọt | Chống rỉ sét
冷却水 (れいきゃくすい) | Nước nóng | Nước thải | Nước uống | Nước làm mát
排水 (はいすい) | Cấp nước | Lọc nước | Trữ nước | Thoát nước
換気扇 (かんきせん) | Điều hòa | Lò sưởi | Máy hút bụi | Quạt thông gió
集塵機 (しゅうじんき) | Máy nén khí | Máy khoan | Máy mài | Máy hút bụi công nghiệp
圧縮機 (あっしゅくき) | Máy giãn | Máy cắt | Máy hàn | Máy nén
油圧 (ゆあつ) | Khí nén | Điện năng | Cơ năng | Thủy lực (dầu)
空圧 (くうあつ) | Thủy lực | Trọng lực | Nhiệt lực | Khí nén
工程 (こうてい) | Kết quả | Lý do | Mục tiêu | Công đoạn
前工程 (まえこうてい) | Công đoạn sau | Công đoạn cuối | Công đoạn lỗi | Công đoạn trước
後工程 (あとこうてい) | Công đoạn trước | Công đoạn đầu | Công đoạn chính | Công đoạn sau
流動 (りゅうどう) | Đứng yên | Tắc nghẽn | Biến mất | Lưu thông/Luân chuyển
歩留り向上 (ぶどまりこうじょう) | Tăng hàng lỗi | Giảm năng suất | Tăng chi phí | Cải thiện tỷ lệ thành phẩm
タクトタイム (たくとたいむ) | Thời gian nghỉ | Thời gian họp | Thời gian đi làm | Thời gian chu kỳ
リードタイム (りーどたいむ) | Thời gian ngủ | Thời gian ăn | Thời gian chơi | Thời gian từ đặt hàng đến giao
生産計画 (せいさんけいかく) | Kế hoạch nghỉ phép | Kế hoạch du lịch | Kế hoạch ăn uống | Kế hoạch sản xuất
生産実績 (せいさんじっせき) | Dự định | Ước mơ | Kế hoạch | Kết quả sản xuất thực tế
稼働中 (かどうちゅう) | Đang hỏng | Đang nghỉ | Đang sửa | Đang hoạt động
非稼働 (ひかどう) | Đang chạy | Đang tốt | Đang nhanh | Không hoạt động
段取り替え (だんどりがえ) | Giữ nguyên mẫu | Vứt bỏ máy | Mua máy mới | Thay đổi thiết lập/Mẫu
異常発生 (いじょうはっせい) | Bình thường | May mắn | Thành công | Phát sinh bất thường
緊急停止 (きんきゅうていし) | Khởi động nhanh | Tăng tốc | Chạy chậm | Dừng khẩn cấp
処置 (しょち) | Bỏ qua | Quan sát | Chờ đợi | Xử lý
恒久対策 (こうきゅうたいさく) | Biện pháp tạm thời | Sai lầm | Vấn đề | Biện pháp lâu dài
暫定対策 (ざんていたいさく) | Biện pháp vĩnh viễn | Thành công | Kết quả | Biện pháp tạm thời
標準化 (ひょうじゅんか) | Cá nhân hóa | Làm xáo trộn | Thay đổi liên tục | Tiêu chuẩn hóa
見える化 (みえるか) | Che giấu | Làm mờ | Xóa bỏ | Trực quan hóa
効率化 (こうりつか) | Lãng phí | Chậm trễ | Phức tạp | Hiệu quả hóa
自動化 (じどうか) | Thủ công | Bằng tay | Nhờ người | Tự động hóa
省力化 (しょうりょくか) | Tăng sức | Thuê thêm người | Làm nặng | Giảm sức lao động
治具 (じぐ) | Máy tính | Bàn ghế | Xe cộ | Đồ gá
金型 (かながた) | Vít | Búa | Kìm | Khuôn
工作機械 (こうさくきかい) | Máy tính | Xe máy | Điện thoại | Máy công cụ
手作業 (てさぎょう) | Làm bằng máy | Robot làm | Tự động | Làm bằng tay
目視検査 (もくしけんさ) | Kiểm tra bằng máy | Không kiểm tra | Nghe tiếng | Kiểm tra bằng mắt
寸法測定 (すんぽうそくてい) | Cân trọng lượng | Kiểm tra màu | Thử độ bền | Đo kích thước
合格証 (ごうかくしょう) | Giấy báo hỏng | Hóa đơn | Thẻ tên | Giấy chứng nhận đạt
不合格票 (ふごうかくひょう) | Phiếu thưởng | Phiếu giảm giá | Phiếu quà tặng | Phiếu không đạt
特採 (とくさい) | Hủy bỏ hàng | Trả lại hàng | Mua hàng mới | Phê duyệt đặc biệt (hàng lệch chuẩn)
手直し (てなおし) | Giữ nguyên | Vứt đi | Bán đi | Sửa lại/Chỉnh sửa
廃棄物 (はいきぶつ) | Tài sản | Sản phẩm | Nguyên liệu | Chất thải
産業廃棄物 (さんぎょうはいきぶつ) | Rác sinh hoạt | Đồ ăn thừa | Nước uống | Rác thải công nghiệp
リサイクル (りさいくる) | Vứt bỏ | Đốt cháy | Chôn lấp | Tái chế
環境保護 (かんきょうほご) | Phá hoại | Ô nhiễm | Khai thác | Bảo vệ môi trường
騒音防止 (そうおんぼうし) | Gây ồn | Nghe nhạc | Hát hò | Chống tiếng ồn
防塵 (ぼうじん) | Gây bụi | Làm bẩn | Quét dọn | Chống bụi
防潮 (ぼうちょう) | Làm ướt | Đun sôi | Làm đông | Chống ẩm
防火 (ぼうか) | Gây cháy | Đốt lửa | Thổi gió | Phòng cháy
消火栓 (しょうかせん) | Vòi sen | Bồn tắm | Chậu rửa | Trụ cứu hỏa
避難訓練 (ひなんくんれん) | Đi chơi | Ăn tiệc | Họp hành | Diễn tập lánh nạn
労働安全 (ろうどうあんぜん) | Tai nạn | Nguy hiểm | Rủi ro | An toàn lao động
保護具 (ほごぐ) | Đồ chơi | Trang sức | Quần áo ngủ | Đồ bảo hộ
安全旗 (あんぜんき) | Cờ tổ quốc | Cờ hiệu | Cờ vây | Cờ an toàn
無災害 (むさいがい) | Nhiều tai nạn | Có thương vong | Rất nguy hiểm | Không có tai nạn
点検記録 (てんけんきろく) | Nhật ký ăn uống | Sổ tay cá nhân | Truyện tranh | Nhật ký kiểm tra
責任者 (せきにんしゃ) | Nhân viên mới | Khách hàng | Người qua đường | Người chịu trách nhiệm
担当者 (たんとうしゃ) | Giám đốc | Bảo vệ | Tạp vụ | Người phụ trách
管理者 (かんりしゃ) | Người làm thuê | Người mua | Người bán | Người quản lý
ISO事務局 (いそじむきょく) | Xưởng sản xuất | Nhà kho | Căng tin | Văn phòng ISO
品質マニュアル (ひんしつまにゅある) | Hợp đồng lao động | Bảng lương | Sách hướng dẫn máy | Sổ tay chất lượng
内部監査 (ないぶかんさ) | Kiểm tra hàng | Phỏng vấn xin việc | Tiếp khách | Đánh giá nội bộ
外部監査 (がいぶかんさ) | Họp nội bộ | Đào tạo kỹ năng | Kiểm kê kho | Đánh giá bên ngoài
是正処置 (ぜぜいしょち) | Khen thưởng | Tăng lương | Thăng chức | Hành động khắc phục
予防処置 (よぼうしょち) | Sửa chữa máy | Vứt bỏ hàng | Nhập nguyên liệu | Hành động phòng ngừa
不適合 (ふてきごう) | Đạt tiêu chuẩn | Hoàn hảo | Xuất sắc | Không phù hợp (NC)
観察事項 (かんさつじこう) | Lệnh bắt buộc | Quy định thuế | Luật lao động | Điểm quan sát/Lưu ý
文書管理 (ぶんしょかんり) | Quản lý máy móc | Quản lý nhân sự | Quản lý tiền bạc | Quản lý văn bản
最新版 (さいしんばん) | Bản cũ | Bản nháp | Bản dịch | Bản mới nhất
有効性 (ゆうこうせい) | Sự vô lý | Sự chậm trễ | Sự hỏng hóc | Tính hiệu lực
追跡可能性 (ついせきかのうせい) | Tính bảo mật | Tính công khai | Tính giải trí | Tính truy xuất nguồn gốc
顧客満足 (こきゃくまんぞく) | Lợi nhuận công ty | Sự thất vọng | Phàn nàn | Sự hài lòng của khách hàng
苦情処理 (くじょうしょり) | Quảng cáo | Bán hàng | Sản xuất | Xử lý khiếu nại
納期遵守 (のうきじゅんしゅ) | Chậm trễ | Hủy đơn hàng | Thay đổi thiết kế | Tuân thủ thời hạn giao hàng
継続的改善 (けいぞくてきかいぜん) | Giữ nguyên | Làm tệ đi | Ngừng hoạt động | Cải tiến liên tục
環境方針 (かんきょうほうしん) | Chính sách lương | Kế hoạch sản xuất | Quy định an toàn | Chính sách môi trường
目標管理 (もくひょうかんり) | Quản lý rác thải | Quản lý xe cộ | Quản lý thời tiết | Quản lý mục tiêu
工程能力 (こうていのうりょく) | Khả năng tài chính | Kỹ năng ngoại ngữ | Sức khỏe nhân viên | Năng lực công đoạn
ばらつき (ばらつき) | Sự ổn định | Sự đồng nhất | Sự chính xác | Sự sai lệch/biến động
分布 (ぶんぷ) | Thu gom | Kết thúc | Bắt đầu | Phân bố
平均値 (へいきんち) | Giá trị lớn nhất | Giá trị nhỏ nhất | Sai số | Giá trị trung bình
中央値 (ちゅうおうち) | Tổng số | Hiệu số | Tích số | Giá trị trung vị
最大公差 (さいだいこうさ) | Dung sai tối thiểu | Kích thước thực | Trọng lượng tịnh | Dung sai tối đa
歩留まり率 (ぶどまりりつ) | Tỷ lệ lỗi | Tỷ lệ nghỉ việc | Tỷ lệ thuế | Tỷ lệ thành phẩm
不良発生率 (ふりょうはっせいりつ) | Tỷ lệ đạt chất lượng | Tỷ lệ lợi nhuận | Tỷ lệ tăng trưởng | Tỷ lệ phát sinh lỗi
原因究明 (げんいんきゅうめい) | Đưa ra kết quả | Chờ đợi | Bỏ qua | Điều tra nguyên nhân
なぜなぜ分析 (なぜなぜぶんせき) | Phân tích tài chính | Phân tích thị trường | Phân tích đối thủ | Phân tích 5 Why
再発防止策 (さいはつぼうしさく) | Kế hoạch mở rộng | Kế hoạch nghỉ mát | Kế hoạch tuyển dụng | Kế hoạch chống tái diễn
水平展開 (すいへいてんかい) | Thu hẹp quy mô | Xóa bỏ quy trình | Giữ bí mật | Triển khai nhân rộng
標準作業 (ひょうじゅんさぎょう) | Thao tác tự do | Thao tác sai | Thao tác thử | Thao tác chuẩn
作業要領書 (さぎょうようりょうしょ) | Hợp đồng mua bán | Đơn xin nghỉ phép | Báo cáo tài chính | Bảng hướng dẫn công việc
初物管理 (はつものかんり) | Quản lý hàng tồn | Quản lý hàng lỗi | Quản lý hàng trả | Quản lý sản phẩm đầu dòng
変更管理 (へんこうかんり) | Quản lý cố định | Quản lý tài sản | Quản lý kho | Quản lý sự thay đổi
識別 (しきべつ) | Trộn lẫn | Che giấu | Bỏ sót | Nhận diện/Phân biệt
追跡 (ついせき) | Dừng lại | Bỏ qua | Xóa dấu vết | Truy xuất/Theo dõi
台帳 (だいちょう) | Truyện tranh | Tờ rơi | Thư mời | Sổ quản lý
記録保持 (きろくほじ) | Tiêu hủy hồ sơ | Sửa đổi hồ sơ | Làm mất hồ sơ | Lưu trữ hồ sơ
機密保持 (きみつほじ) | Công khai thông tin | Phát tán tin tức | Quảng cáo | Bảo mật thông tin
棚卸表 (たなおろしひょう) | Bảng lương | Bảng chấm công | Bảng thực đơn | Bảng kiểm kê kho
検収印 (けんしゅういん) | Con dấu hủy bỏ | Con dấu mật | Con dấu cá nhân | Con dấu nghiệm thu
承認印 (しょうにんいん) | Con dấu từ chối | Con dấu nháp | Con dấu giả | Con dấu phê duyệt
領収 (りょうしゅう) | Trả lại | Vứt bỏ | Cho mượn | Thu nhận/Lĩnh nhận
計上 (けいじょう) | Xóa bỏ | Trì hoãn | Ước tính | Hạch toán/Ghi vào sổ
棚引 (たなびき) | Lưu thông | Bán chạy | Nhập mới | Tồn đọng (hàng hóa)
出庫 (しゅっこ) | Nhập kho | Kiểm kho | Chuyển kho | Xuất kho
入庫 (にゅうこ) | Xuất kho | Thanh lý | Trả hàng | Nhập kho
在庫金額 (ざいこきんがく) | Giá bán lẻ | Chi phí vận chuyển | Tiền lãi | Giá trị hàng tồn kho
減価償却 (げんかしょうきゃく) | Tăng giá trị | Đầu tư mới | Thu lợi nhuận | Khấu hao tài sản
固定資産 (こていしさん) | Tài sản lưu động | Tiền mặt | Nợ ngắn hạn | Tài sản cố định
労働契約 (ろうどうけいやく) | Hợp đồng mua bán | Hợp đồng thuê nhà | Hợp đồng bảo hiểm | Hợp đồng lao động
就業規則 (しゅうぎょうきそく) | Luật giao thông | Quy định ăn uống | Sách hướng dẫn du lịch | Nội quy làm việc
試用期間 (しようきかん) | Thời gian nghỉ hưu | Thời gian thăng tiến | Thời gian nghỉ lễ | Thời gian thử việc
本採用 (ほんさいよう) | Thử việc | Thực tập | Nghỉ việc | Tuyển dụng chính thức
解雇 (かいこ) | Tuyển dụng | Khen thưởng | Thăng chức | Sa thải
退職金 (たいしょくきん) | Tiền lương tháng | Tiền tăng ca | Tiền thưởng tết | Trợ cấp thôi việc
定年 (ていねん) | Tuổi đi học | Tuổi kết hôn | Tuổi trưởng thành | Tuổi nghỉ hưu
福利厚生 (ふくりこうせい) | Tiền phạt | Thuế thu nhập | Chi phí sản xuất | Phúc lợi xã hội
社会保険 (しゃかいほけん) | Bảo hiểm xe máy | Bảo hiểm nhà cửa | Bảo hiểm du lịch | Bảo hiểm xã hội
雇用保険 (こようほけん) | Bảo hiểm nhân thọ | Bảo hiểm y tế | Bảo hiểm hỏa hoạn | Bảo hiểm thất nghiệp
源泉徴収票 (げんせんちょうしゅうひょう) | Hóa đơn tiền điện | Phiếu giảm giá | Vé máy bay | Tờ khai thuế tại nguồn
年末調整 (ねんまつちょうせい) | Tổng kết sản xuất | Tiệc tất niên | Kiểm kê kho | Quyết toán thuế cuối năm
給与明細 (きゅうよめいさい) | Thẻ nhân viên | Bảng chấm công | Giấy giới thiệu | Phiếu lương chi tiết
控除 (こうじょ) | Cộng thêm | Thưởng tiền | Tặng quà | Khấu trừ
手当 (てあて) | Tiền phạt | Thuế | Nợ | Phụ cấp
役職手当 (やくしょくてあて) | Phụ cấp ăn trưa | Phụ cấp đi lại | Phụ cấp nhà ở | Phụ cấp chức vụ
資格手当 (しかくてあて) | Tiền thưởng chuyên cần | Tiền làm thêm | Tiền xăng | Phụ cấp bằng cấp
通勤手当 (つうきんてあて) | Tiền điện thoại | Tiền trang phục | Tiền bảo hiểm | Phụ cấp đi lại
家族手当 (かぞくてあて) | Phụ cấp độc thân | Phụ cấp thâm niên | Phụ cấp rủi ro | Phụ cấp gia đình
有給取得率 (ゆうきゅうしゅとくりつ) | Tỷ lệ đi làm muộn | Tỷ lệ nghỉ việc | Tỷ lệ tăng ca | Tỷ lệ sử dụng nghỉ phép
育児休業 (いくじきゅうぎょう) | Nghỉ ốm | Nghỉ hè | Nghỉ phép năm | Nghỉ thai sản/nuôi con
介護休業 (かいごきゅうぎょう) | Nghỉ đi học | Nghỉ kết hôn | Nghỉ hưởng lương | Nghỉ chăm sóc người thân
労働組合 (ろうどうくみあい) | Ban giám đốc | Phòng nhân sự | Hội khách hàng | Công đoàn lao động
組合員 (くみあいいん) | Cổ đông | Giám đốc | Đối tác | Đoàn viên công đoàn
労使協議 (ろうしきょうぎ) | Tranh chấp | Họp khách hàng | Đào tạo | Thỏa thuận giữa chủ và thợ
産業医 (さんぎょうい) | Kỹ sư trưởng | Giám đốc tài chính | Bảo vệ | Bác sĩ công ty
安全管理者 (あんぜんかんりしゃ) | Người nấu ăn | Người lái xe | Người bán hàng | Người quản lý an toàn
衛生管理者 (えいせいかんりしゃ) | Kế toán trưởng | Thủ kho | Lập trình viên | Người quản lý vệ sinh
適性検査 (てきせいけんさ) | Khám sức khỏe | Kiểm tra máy | Kiểm tra hàng lỗi | Kiểm tra năng lực/tố chất
研修生 (けんしゅうせい) | Giám đốc | Trưởng phòng | Khách hàng | Tu nghiệp sinh/Thực tập sinh
技能実習 (ぎのうじっしゅう) | Đi du lịch | Đi công tác | Đi mua sắm | Thực tập kỹ năng
能力開発 (のうりょくかいはつ) | Giải trí | Nghỉ ngơi | Ăn uống | Phát triển năng lực
昇給試験 (しょうきゅうしけん) | Kỳ thi lái xe | Kỳ thi đại học | Kỳ thi nấu ăn | Kỳ thi tăng lương
自己啓発 (じこけいはつ) | Nhờ vả người khác | Ngừng học tập | Vui chơi | Tự phát triển bản thân
人事異動 (じんじいどう) | Giữ nguyên chức vụ | Sa thải toàn bộ | Tuyển mới | Điều động nhân sự
配置転換 (はいちてんかん) | Nghỉ việc | Thăng chức | Giảm lương | Luân chuyển vị trí
出向 (しゅっこう) | Nghỉ hưu | Đi học | Đi du lịch | Biệt phái
転勤 (てんきん) | Nghỉ việc | Đi làm thêm | Về sớm | Chuyển công tác (đổi địa điểm)
派遣 (はけん) | Thuê dài hạn | Biên chế | Thử việc | Phái cử nhân viên
嘱託 (しょくたく) | Giám đốc | Nhân viên chính thức | Sinh viên | Nhân viên hợp đồng đặc biệt
辞令 (じれい) | Thư mời | Hóa đơn | Bảng lương | Quyết định bổ nhiệm
役員 (やくいん) | Công nhân | Tạp vụ | Thực tập sinh | Thành viên ban quản trị
常務 (じょうむ) | Nhân viên văn phòng | Trưởng ca | Tổ trưởng | Giám đốc điều hành
